requested_density,run,initial_population,initial_susceptible,final_susceptible,final_recovered,final_healthy_density,mortality_fraction,infection_episodes,infection_episodes_per_initial_population,peak_infectious,peak_prevalence,duration_generations,time_to_peak,wave_count,resurgence_count
41.0,24,107128.0,107116.0,107056.0,2.0,0.4083938598632812,0.0006534239414532,3365.0,0.0314110223284295,344.0,0.0032111119408557,835.0,100.0,1,0
41.0,25,107290.0,107278.0,105479.0,0.0,0.4023704528808594,0.0168794855065709,99342.0,0.9259204026470316,1476.0,0.013757106906515,3332.0,1036.0,1,0
41.0,26,107570.0,107558.0,107566.0,0.0,0.4103317260742187,3.718508877939946e-05,421.0,0.0039137305940317,113.0,0.001050478758018,324.0,26.0,0,0
41.0,27,107328.0,107316.0,106652.0,0.0,0.4068450927734375,0.0062984496124031,37224.0,0.346824686940966,1003.0,0.0093451848539057,1615.0,441.0,1,0
41.0,28,107516.0,107504.0,106378.0,1.0,0.4058036804199219,0.0105751702072249,60766.0,0.5651809963168273,814.0,0.0075709661817775,4014.0,2507.0,2,1
41.0,29,107007.0,106995.0,106767.0,1.0,0.40728759765625,0.0022334987430728,12897.0,0.120524825478707,572.0,0.0053454446905342,1282.0,257.0,1,0
41.0,30,107422.0,107410.0,105956.0,3.0,0.4042015075683594,0.013619184152222,81129.0,0.7552363575431476,1700.0,0.0158254361304015,2358.0,636.0,1,0
42.0,1,110361.0,110349.0,105889.0,2.0,0.4039421081542969,0.0405034387147633,242313.0,2.195639764047082,3938.0,0.0356828952256684,3550.0,976.0,1,0
42.0,2,109913.0,109901.0,106030.0,5.0,0.4044914245605469,0.0352824506655263,207341.0,1.8864101607635129,4032.0,0.0366835588146989,3137.0,1123.0,1,0
42.0,3,109859.0,109847.0,106312.0,4.0,0.4055633544921875,0.0322504300967603,190542.0,1.7344232152122263,2486.0,0.0226290062716755,4229.0,980.0,1,0
42.0,4,110429.0,110417.0,105255.0,168.0,0.4021568298339844,0.0453322949587517,272475.0,2.467422506769055,5691.0,0.0515353756712457,3003.0,743.0,1,0
42.0,5,110194.0,110182.0,106611.0,160.0,0.4072990417480469,0.0310633972811586,187232.0,1.6991124743633954,4478.0,0.0406374212752055,2997.0,1097.0,3,2
42.0,6,110396.0,110384.0,106133.0,111.0,0.4052886962890625,0.0376100583354469,232525.0,2.106281024674807,3588.0,0.0325011775788977,3307.0,908.0,1,0
42.0,7,109745.0,109733.0,105729.0,13.0,0.4033737182617187,0.0364754658526584,213929.0,1.949327987607636,3601.0,0.0328124288122465,3300.0,1655.0,1,0
42.0,8,110042.0,110030.0,110019.0,0.0,0.4196891784667969,0.0002090111048508,1646.0,0.0149579251558495,302.0,0.0027444066810854,681.0,66.0,1,0
42.0,9,110039.0,110027.0,109912.0,2.0,0.4192886352539062,0.0011359608865947,5792.0,0.0526358836412544,373.0,0.0033897072855987,868.0,366.0,1,0
42.0,10,110017.0,110005.0,106284.0,0.0,0.4054412841796875,0.0339311197360407,200272.0,1.8203732150485836,3987.0,0.03623985384077,2757.0,1167.0,1,0
42.0,11,110497.0,110485.0,105698.0,1.0,0.4032096862792969,0.0434219933572857,257742.0,2.332570115025747,4384.0,0.0396752853018634,3490.0,1001.0,1,0
42.0,12,109968.0,109956.0,106412.0,2.0,0.4059371948242187,0.0323184926524079,189812.0,1.726065764586061,2726.0,0.0247890295358649,3215.0,1424.0,1,0
42.0,13,110255.0,110243.0,106205.0,0.0,0.4051399230957031,0.0367330279805904,223650.0,2.0284794340392724,3993.0,0.0362160446238265,4288.0,1339.0,1,0
42.0,14,110331.0,110319.0,105779.0,2.0,0.4035224914550781,0.0412395428302109,243376.0,2.205871423262728,4446.0,0.0402969247083775,4108.0,1302.0,1,0
42.0,15,110406.0,110394.0,106047.0,4.0,0.4045524597167969,0.0394453200007246,230003.0,2.0832472872851118,4979.0,0.045097186747097,2989.0,841.0,1,0
42.0,16,109835.0,109823.0,109722.0,0.0,0.4185562133789062,0.0010288159511995,5927.0,0.0539627623253061,460.0,0.0041881003323166,919.0,110.0,1,0
42.0,17,109866.0,109854.0,105608.0,16.0,0.402923583984375,0.0386106711812571,224845.0,2.0465385105492144,4948.0,0.0450366810478218,3760.0,825.0,2,1
42.0,18,109763.0,109751.0,106908.0,1.0,0.4078254699707031,0.0260014759071818,155669.0,1.4182283647495058,3144.0,0.0286435319734336,3025.0,1130.0,1,0
42.0,19,110683.0,110671.0,107111.0,1.0,0.408599853515625,0.0322633105354932,193426.0,1.7475673771039817,3781.0,0.0341606208722206,3019.0,877.0,1,0
42.0,20,110074.0,110062.0,110065.0,2.0,0.4198722839355469,6.35935824990461e-05,400.0,0.0036339189999454,100.0,0.0009084797499863,220.0,38.0,0,0
42.0,21,109771.0,109759.0,106694.0,3.0,0.4070167541503906,0.0280037532681673,165560.0,1.5082307713330478,2884.0,0.0262728771715662,4087.0,2908.0,1,0
42.0,22,109922.0,109910.0,105778.0,0.0,0.4035110473632812,0.0376994596168192,220945.0,2.010016193300704,2923.0,0.0265915831225778,3705.0,1727.0,1,0
42.0,23,110308.0,110296.0,106075.0,2.0,0.4046516418457031,0.0383562388947311,224383.0,2.0341498350074336,3129.0,0.0283660296623998,4093.0,1124.0,1,0
42.0,24,110533.0,110521.0,106808.0,7.0,0.4074668884277344,0.0336370133806193,208362.0,1.8850659983896207,4021.0,0.0363782761709172,2925.0,1178.0,1,0
42.0,25,110464.0,110452.0,106725.0,3.0,0.407135009765625,0.0338209733487833,200835.0,1.8181036355735805,3433.0,0.0310779982618771,2840.0,1203.0,1,0
42.0,26,110450.0,110438.0,106581.0,4.0,0.4065895080566406,0.0349932095971027,208304.0,1.8859574468085107,2995.0,0.027116342236306,4122.0,905.0,2,1
42.0,27,109817.0,109805.0,105962.0,1.0,0.4042167663574219,0.0350947485362011,207429.0,1.888860558929856,3222.0,0.0293397197155267,3048.0,741.0,1,0
42.0,28,110188.0,110176.0,105656.0,0.0,0.403045654296875,0.0411297055940755,248536.0,2.255563219225324,3217.0,0.0291955566849384,3954.0,1019.0,2,1
42.0,29,110125.0,110113.0,105709.0,7.0,0.4032745361328125,0.0400363223609534,238904.0,2.16938933030647,3492.0,0.0317094211123723,5382.0,2102.0,1,0
42.0,30,110398.0,110386.0,106009.0,2.0,0.4043998718261719,0.0397380387325857,237909.0,2.1550118661569955,5397.0,0.0488867551948404,3164.0,772.0,1,0
43.0,1,113257.0,113245.0,106652.0,0.0,0.4068450927734375,0.0583186911184297,350769.0,3.097106580608704,7024.0,0.0620182416980848,3559.0,600.0,1,0
