requested_density,run,initial_fuel,final_fuel,burned_fuel,burn_fraction,duration_generations,peak_active_fire,peak_active_fraction,time_to_peak,max_burn_rate,dynamic_frames,initial_grass,burned_grass_fraction,initial_bush,burned_bush_fraction,initial_tree,burned_tree_fraction
55.0,9,144572.0,144562.0,10.0,6.916968707633566e-05,4.0,18.0,0.0001245054367374042,1.0,4.15018122458014e-05,5,47860.0,0.00012536564981195154,48157.0,6.229623938368254e-05,48555.0,2.0595201318092884e-05
55.0,10,144351.0,144302.0,49.0,0.00033945036750697953,13.0,23.0,0.00015933384597266386,2.0,5.542046816440482e-05,14,47827.0,0.0006272607522947289,48217.0,0.00014517701225708776,48307.0,0.0002484112033452709
55.0,11,144162.0,144141.0,21.0,0.00014566945519623757,5.0,24.0,0.00016647937736712865,2.0,5.5493125789042884e-05,6,48071.0,0.00018722306588171662,48099.0,0.00014553317116779976,47992.0,0.00010418403067177862
55.0,12,144215.0,144206.0,9.0,6.24068231459973e-05,4.0,17.0,0.00011787955483132822,1.0,3.467045730333183e-05,5,48251.0,4.144991813641168e-05,48005.0,0.0001249869805228622,47959.0,2.0851143685231133e-05
55.0,13,144238.0,144210.0,28.0,0.000194123601270123,7.0,23.0,0.00015945867247188673,2.0,5.5463886077177994e-05,8,48112.0,0.0004364815430661789,47960.0,6.255212677231025e-05,48166.0,8.304613212639621e-05
55.0,14,144341.0,144309.0,32.0,0.00022169723086302575,7.0,20.0,0.0001385607692893911,2.0,4.8496269251286886e-05,8,48123.0,0.0003948216029757081,48316.0,0.00022766785329911418,47902.0,4.1751910149889354e-05
55.0,15,144163.0,144140.0,23.0,0.00015954162996053078,7.0,22.0,0.00015260503735355118,2.0,4.16195556418776e-05,8,47871.0,0.0003133421069123269,48277.0,6.214139238146529e-05,48015.0,0.00010413412475268145
55.0,16,143885.0,143866.0,19.0,0.0001320499009625743,5.0,21.0,0.0001459498905375821,2.0,4.169996872502346e-05,6,48166.0,0.0002491383963791886,47814.0,0.00010457188271217636,47905.0,4.1749295480638766e-05
55.0,17,144474.0,144445.0,29.0,0.00020072815869983526,9.0,22.0,0.00015227653418608191,2.0,4.1529963868931435e-05,10,48205.0,0.0003526605123949798,48118.0,0.00018704019285922108,48151.0,6.230400199372806e-05
55.0,18,144115.0,144102.0,13.0,9.020573847274747e-05,3.0,20.0,0.00013877805918884224,2.0,4.857232071609478e-05,4,47912.0,0.00012522958757722492,48094.0,8.317045785337048e-05,48109.0,6.235839447920348e-05
